WellID,Stage,model,mean_Do_x,mean_Do_y,mean_Do_z,sd_Do_x,sd_Do_y,sd_Do_z,hdi_3%_Do_x,hdi_3%_Do_y,hdi_3%_Do_z,hdi_97%_Do_x,hdi_97%_Do_y,hdi_97%_Do_z
3,25,linear,6.554,0.376,1.894,0.124,0.007,0.051,6.307,0.362,1.81,6.731,0.386,1.978
3,25,nonlinear,2.182,0.376,0.696,0.217,0.007,0.069,1.78,0.362,0.559,2.538,0.386,0.805
3,26,linear,19.359,1.8,4.521,0.179,0.092,0.096,19.072,1.61,4.342,19.727,1.973,4.714
3,26,nonlinear,5.116,1.802,2.139,0.868,0.09,0.363,3.529,1.609,1.473,6.562,1.968,2.744
3,27,linear,1.054,0.423,4.573,0.051,0.008,0.052,0.952,0.405,4.481,1.16,0.438,4.676
3,27,nonlinear,0.039,0.423,1.708,0.004,0.008,0.174,0.03,0.405,1.376,0.046,0.437,1.984
3,28,linear,4.333,1.024,9.775,0.09,0.024,0.055,4.189,0.975,9.673,4.507,1.067,9.887
3,28,nonlinear,0.053,1.024,1.651,0.005,0.025,0.167,0.042,0.977,1.329,0.062,1.073,1.916
3,29,linear,2.642,0.531,5.917,0.017,0.016,0.071,2.609,0.502,5.786,2.672,0.558,6.042
3,29,nonlinear,0.201,0.531,2.052,0.021,0.016,0.209,0.16,0.501,1.644,0.235,0.558,2.385
3,30,linear,0.882,0.265,4.067,0.009,0.007,0.038,0.866,0.254,4.002,0.899,0.279,4.149
3,30,nonlinear,0.181,0.266,1.262,0.017,0.007,0.121,0.145,0.253,1.027,0.208,0.281,1.455
3,31,linear,2.299,0.436,9.514,0.031,0.007,0.063,2.238,0.423,9.397,2.357,0.451,9.62
3,31,nonlinear,0.573,0.436,2.64,0.066,0.008,0.302,0.445,0.421,2.06,0.68,0.449,3.129
3,32,linear,1.368,0.265,6.164,0.015,0.006,0.049,1.341,0.254,6.071,1.397,0.275,6.251
3,32,nonlinear,0.489,0.265,2.217,0.061,0.006,0.274,0.379,0.253,1.73,0.579,0.275,2.633
3,33,linear,1.705,0.14,13.575,0.043,0.005,0.1,1.635,0.131,13.397,1.785,0.149,13.776
3,33,nonlinear,0.366,0.14,3.938,0.055,0.005,0.587,0.259,0.132,2.773,0.454,0.149,4.868
3,34,linear,0.803,0.11,4.65,0.025,0.008,0.129,0.756,0.097,4.442,0.849,0.123,4.906
3,34,nonlinear,0.349,0.11,2.357,0.038,0.008,0.252,0.278,0.098,1.879,0.414,0.123,2.768
3,35,linear,2.814,0.27,8.124,0.122,0.014,0.095,2.576,0.247,7.937,3.037,0.298,8.293
3,35,nonlinear,0.699,0.271,2.168,0.085,0.015,0.26,0.541,0.247,1.665,0.837,0.3,2.568
3,36,linear,2.663,0.23,5.371,0.057,0.011,0.077,2.571,0.209,5.226,2.781,0.251,5.518
3,36,nonlinear,0.694,0.23,1.768,0.072,0.011,0.181,0.563,0.21,1.449,0.814,0.251,2.064
3,37,linear,3.403,0.597,5.039,0.134,0.039,0.083,3.244,0.518,4.882,3.654,0.654,5.19
3,37,nonlinear,1.201,0.596,1.95,0.129,0.04,0.211,0.957,0.518,1.566,1.412,0.654,2.307
